077A3100-1667-45FA-B98C-37651B5073EE,TpmSmbiosDxe
ECEBCB00-D9C8-11E4-AF3D-8CDCD426C973,HttpBootDxe
580DD900-385D-11D7-883A-00500473D4EB,Uhcd
DEB0EE00-18DF-415C-AF03-74D09B0AAD87,JedecNvdimm
8F0B5301-C79B-44F1-8FD3-26D73E316700,HwpLvtSmm
8F5A2E02-538C-4D59-B920-C4786ACBC552,Ahci
9B5C8204-B716-425A-8192-1B8D059C9022,SlotDataUpdateDxeWilsonCityModular
AB8F1705-7EB6-4D08-A9B3-918BDE24F479,UpdatePcdPei
DE141A05-FA40-432D-9631-5E3E990F44D5,SlotDataUpdateDxeNeonCityEPRP
73A54106-8C88-4BA9-B08E-FD879A1682CA,NvdimmCommon
77EB6C06-FD48-488B-A1B3-AE0A70801369,CryptoDXE
75E78806-C68F-4839-8A68-B29084820659,ExStatusCodeHandlerPei
79CA4208-BBA1-4A9A-8456-E1E66A81484E,Legacy8259
80E66E0A-CCD1-43FA-A7B1-2D5EE0F13910,PciRootBridge
42857F0A-13F2-4B21-8A23-53D3F714B840,CapsuleRuntimeDxe
1B45CC0A-156A-428A-AF62-49864DA0E6E6,PEI apriori file
E764500B-E398-4AB7-BBBC-99A8E683681F,MeSmbios
6D4BAA0B-F431-4370-AF19-99D6209239F6,BiosGuardServices
3137130C-D0A7-467E-9E8F-513816F159D8,OpromUpdateDxeNeonCityEPRP
3DFB880C-552C-43F1-A280-4A5E8F122FDE,SMBusImpErrataFix
1807040D-5934-41A2-A088-8E0F777F71AB,NvramDxe
CDC1C80D-E6D3-4A42-9229-75F3BEFCF109,PciOutOfResourceSetupPage
2A537C0E-5D9C-45D3-A6CE-3AD02D3E3B53,ReserveMem
4A6D890F-93C3-4B6D-A67D-5F2C4DCE347B,RuntimeSmm
2366C20F-E15A-11E3-8BF1-E4115B28BC50,HttpDxe
AC60C811-F202-48A6-9B30-696049ABBA8F,OpromUpdateDxeWilsonCityModular
9F048812-A546-4C85-A5CF-A0785423705D,SystemConfigUpdate
81A4F912-E72F-44ED-8931-16A9FE9650E0,KbcEmulDxe
C4EB3614-4986-42B9-8C0D-9FE118278908,CrystalRidge
52C05B14-0B98-496C-BC3B-04B50211D680,PeiCore
E0471A15-76DC-4203-8B27-6DB4F8BA644A,UbaConfigDatabaseDxe
